# Erdős–Straus hot corridor: mod24=0, hot mod9 classes, stride-24 from ~103.98M to ~115.999M
# n	num_solutions	triple_x	triple_y	triple_z
106127112	2	70751408	70751408	106127112
106127136	2	70751424	70751424	106127136
106127160	2	70751440	70751440	106127160
106127184	2	70751456	70751456	106127184
106127208	2	70751472	70751472	106127208
106127232	2	70751488	70751488	106127232
106127256	2	70751504	70751504	106127256
106127280	2	70751520	70751520	106127280
106127304	2	70751536	70751536	106127304
106127328	2	70751552	70751552	106127328
106127352	2	70751568	70751568	106127352
106127376	2	70751584	70751584	106127376
106127400	2	70751600	70751600	106127400
106127424	2	70751616	70751616	106127424
106127448	2	70751632	70751632	106127448
106127472	2	70751648	70751648	106127472
106127496	2	70751664	70751664	106127496
106127520	2	70751680	70751680	106127520
106127544	2	70751696	70751696	106127544
106127568	2	70751712	70751712	106127568
106127592	2	70751728	70751728	106127592
106127616	2	70751744	70751744	106127616
106127640	2	70751760	70751760	106127640
106127664	2	70751776	70751776	106127664
106127688	2	70751792	70751792	106127688
106127712	2	70751808	70751808	106127712
106127736	2	70751824	70751824	106127736
106127760	2	70751840	70751840	106127760
106127784	2	70751856	70751856	106127784
106127808	2	70751872	70751872	106127808
106127832	2	70751888	70751888	106127832
106127856	2	70751904	70751904	106127856
106127880	2	70751920	70751920	106127880
106127904	2	70751936	70751936	106127904
106127928	2	70751952	70751952	106127928
106127952	2	70751968	70751968	106127952
106127976	2	70751984	70751984	106127976
106128000	2	70752000	70752000	106128000
106128024	2	70752016	70752016	106128024
106128048	2	70752032	70752032	106128048
106128072	2	70752048	70752048	106128072
106128096	2	70752064	70752064	106128096
106128120	2	70752080	70752080	106128120
106128144	2	70752096	70752096	106128144
106128168	2	70752112	70752112	106128168
106128192	2	70752128	70752128	106128192
106128216	2	70752144	70752144	106128216
106128240	2	70752160	70752160	106128240
106128264	2	70752176	70752176	106128264
106128288	2	70752192	70752192	106128288
106128312	2	70752208	70752208	106128312
106128336	2	70752224	70752224	106128336
106128360	2	70752240	70752240	106128360
106128384	2	70752256	70752256	106128384
106128408	2	70752272	70752272	106128408
106128432	2	70752288	70752288	106128432
106128456	2	70752304	70752304	106128456
106128480	2	70752320	70752320	106128480
106128504	2	70752336	70752336	106128504
106128528	2	70752352	70752352	106128528
106128552	2	70752368	70752368	106128552
106128576	2	70752384	70752384	106128576
106128600	2	70752400	70752400	106128600
106128624	2	70752416	70752416	106128624
106128648	2	70752432	70752432	106128648
106128672	2	70752448	70752448	106128672
106128696	2	70752464	70752464	106128696
106128720	2	70752480	70752480	106128720
106128744	2	70752496	70752496	106128744
106128768	2	70752512	70752512	106128768
106128792	2	70752528	70752528	106128792
106128816	2	70752544	70752544	106128816
106128840	2	70752560	70752560	106128840
106128864	2	70752576	70752576	106128864
106128888	2	70752592	70752592	106128888
106128912	2	70752608	70752608	106128912
106128936	2	70752624	70752624	106128936
106128960	2	70752640	70752640	106128960
106128984	2	70752656	70752656	106128984
106129008	2	70752672	70752672	106129008
106129032	2	70752688	70752688	106129032
106129056	2	70752704	70752704	106129056
106129080	2	70752720	70752720	106129080
106129104	2	70752736	70752736	106129104
106129128	2	70752752	70752752	106129128
106129152	2	70752768	70752768	106129152
106129176	2	70752784	70752784	106129176
106129200	2	70752800	70752800	106129200
106129224	2	70752816	70752816	106129224
106129248	2	70752832	70752832	106129248
106129272	2	70752848	70752848	106129272
106129296	2	70752864	70752864	106129296
106129320	2	70752880	70752880	106129320
106129344	2	70752896	70752896	106129344
106129368	2	70752912	70752912	106129368
106129392	2	70752928	70752928	106129392
106129416	2	70752944	70752944	106129416
106129440	2	70752960	70752960	106129440
106129464	2	70752976	70752976	106129464
106129488	2	70752992	70752992	106129488
106129512	2	70753008	70753008	106129512
106129536	2	70753024	70753024	106129536
106129560	2	70753040	70753040	106129560
106129584	2	70753056	70753056	106129584
106129608	2	70753072	70753072	106129608
106129632	2	70753088	70753088	106129632
106129656	2	70753104	70753104	106129656
106129680	2	70753120	70753120	106129680
106129704	2	70753136	70753136	106129704
106129728	2	70753152	70753152	106129728
106129752	2	70753168	70753168	106129752
106129776	2	70753184	70753184	106129776
106129800	2	70753200	70753200	106129800
106129824	2	70753216	70753216	106129824
106129848	2	70753232	70753232	106129848
106129872	2	70753248	70753248	106129872
106129896	2	70753264	70753264	106129896
106129920	2	70753280	70753280	106129920
106129944	2	70753296	70753296	106129944
106129968	2	70753312	70753312	106129968
106129992	2	70753328	70753328	106129992
106130016	2	70753344	70753344	106130016
106130040	2	70753360	70753360	106130040
106130064	2	70753376	70753376	106130064
106130088	2	70753392	70753392	106130088
106130112	2	70753408	70753408	106130112
106130136	2	70753424	70753424	106130136
106130160	2	70753440	70753440	106130160
106130184	2	70753456	70753456	106130184
106130208	2	70753472	70753472	106130208
106130232	2	70753488	70753488	106130232
106130256	2	70753504	70753504	106130256
106130280	2	70753520	70753520	106130280
106130304	2	70753536	70753536	106130304
106130328	2	70753552	70753552	106130328
106130352	2	70753568	70753568	106130352
106130376	2	70753584	70753584	106130376
106130400	2	70753600	70753600	106130400
106130424	2	70753616	70753616	106130424
106130448	2	70753632	70753632	106130448
106130472	2	70753648	70753648	106130472
106130496	2	70753664	70753664	106130496
106130520	2	70753680	70753680	106130520
106130544	2	70753696	70753696	106130544
106130568	2	70753712	70753712	106130568
106130592	2	70753728	70753728	106130592
106130616	2	70753744	70753744	106130616
106130640	2	70753760	70753760	106130640
106130664	2	70753776	70753776	106130664
106130688	2	70753792	70753792	106130688
106130712	2	70753808	70753808	106130712
106130736	2	70753824	70753824	106130736
106130760	2	70753840	70753840	106130760
106130784	2	70753856	70753856	106130784
106130808	2	70753872	70753872	106130808
106130832	2	70753888	70753888	106130832
106130856	2	70753904	70753904	106130856
106130880	2	70753920	70753920	106130880
106130904	2	70753936	70753936	106130904
106130928	2	70753952	70753952	106130928
106130952	2	70753968	70753968	106130952
106130976	2	70753984	70753984	106130976
106131000	2	70754000	70754000	106131000
106131024	2	70754016	70754016	106131024
106131048	2	70754032	70754032	106131048
106131072	2	70754048	70754048	106131072
106131096	2	70754064	70754064	106131096
106131120	2	70754080	70754080	106131120
106131144	2	70754096	70754096	106131144
106131168	2	70754112	70754112	106131168
106131192	2	70754128	70754128	106131192
106131216	2	70754144	70754144	106131216
106131240	2	70754160	70754160	106131240
106131264	2	70754176	70754176	106131264
106131288	2	70754192	70754192	106131288
106131312	2	70754208	70754208	106131312
106131336	2	70754224	70754224	106131336
106131360	2	70754240	70754240	106131360
106131384	2	70754256	70754256	106131384
106131408	2	70754272	70754272	106131408
106131432	2	70754288	70754288	106131432
106131456	2	70754304	70754304	106131456
106131480	2	70754320	70754320	106131480
106131504	2	70754336	70754336	106131504
106131528	2	70754352	70754352	106131528
106131552	2	70754368	70754368	106131552
106131576	2	70754384	70754384	106131576
106131600	2	70754400	70754400	106131600
106131624	2	70754416	70754416	106131624
106131648	2	70754432	70754432	106131648
106131672	2	70754448	70754448	106131672
106131696	2	70754464	70754464	106131696
106131720	2	70754480	70754480	106131720
106131744	2	70754496	70754496	106131744
106131768	2	70754512	70754512	106131768
106131792	2	70754528	70754528	106131792
106131816	2	70754544	70754544	106131816
106131840	2	70754560	70754560	106131840
106131864	2	70754576	70754576	106131864
106131888	2	70754592	70754592	106131888
106131912	2	70754608	70754608	106131912
106131936	2	70754624	70754624	106131936
106131960	2	70754640	70754640	106131960
106131984	2	70754656	70754656	106131984
106132008	2	70754672	70754672	106132008
106132032	2	70754688	70754688	106132032
106132056	2	70754704	70754704	106132056
106132080	2	70754720	70754720	106132080
106132104	2	70754736	70754736	106132104
106132128	2	70754752	70754752	106132128
106132152	2	70754768	70754768	106132152
106132176	2	70754784	70754784	106132176
106132200	2	70754800	70754800	106132200
106132224	2	70754816	70754816	106132224
106132248	2	70754832	70754832	106132248
106132272	2	70754848	70754848	106132272
106132296	2	70754864	70754864	106132296
106132320	2	70754880	70754880	106132320
106132344	2	70754896	70754896	106132344
106132368	2	70754912	70754912	106132368
106132392	2	70754928	70754928	106132392
106132416	2	70754944	70754944	106132416
106132440	2	70754960	70754960	106132440
106132464	2	70754976	70754976	106132464
106132488	2	70754992	70754992	106132488
106132512	2	70755008	70755008	106132512
106132536	2	70755024	70755024	106132536
106132560	2	70755040	70755040	106132560
106132584	2	70755056	70755056	106132584
106132608	2	70755072	70755072	106132608
106132632	2	70755088	70755088	106132632
106132656	2	70755104	70755104	106132656
106132680	2	70755120	70755120	106132680
106132704	2	70755136	70755136	106132704
106132728	2	70755152	70755152	106132728
106132752	2	70755168	70755168	106132752
106132776	2	70755184	70755184	106132776
106132800	2	70755200	70755200	106132800
106132824	2	70755216	70755216	106132824
106132848	2	70755232	70755232	106132848
106132872	2	70755248	70755248	106132872
106132896	2	70755264	70755264	106132896
106132920	2	70755280	70755280	106132920
106132944	2	70755296	70755296	106132944
106132968	2	70755312	70755312	106132968
106132992	2	70755328	70755328	106132992
106133016	2	70755344	70755344	106133016
106133040	2	70755360	70755360	106133040
106133064	2	70755376	70755376	106133064
106133088	2	70755392	70755392	106133088
106133112	2	70755408	70755408	106133112
106133136	2	70755424	70755424	106133136
106133160	2	70755440	70755440	106133160
106133184	2	70755456	70755456	106133184
106133208	2	70755472	70755472	106133208
106133232	2	70755488	70755488	106133232
106133256	2	70755504	70755504	106133256
106133280	2	70755520	70755520	106133280
106133304	2	70755536	70755536	106133304
106133328	2	70755552	70755552	106133328
106133352	2	70755568	70755568	106133352
106133376	2	70755584	70755584	106133376
106133400	2	70755600	70755600	106133400
106133424	2	70755616	70755616	106133424
106133448	2	70755632	70755632	106133448
106133472	2	70755648	70755648	106133472
106133496	2	70755664	70755664	106133496
106133520	2	70755680	70755680	106133520
106133544	2	70755696	70755696	106133544
106133568	2	70755712	70755712	106133568
106133592	2	70755728	70755728	106133592
106133616	2	70755744	70755744	106133616
106133640	2	70755760	70755760	106133640
106133664	2	70755776	70755776	106133664
106133688	2	70755792	70755792	106133688
106133712	2	70755808	70755808	106133712
106133736	2	70755824	70755824	106133736
106133760	2	70755840	70755840	106133760
106133784	2	70755856	70755856	106133784
106133808	2	70755872	70755872	106133808
106133832	2	70755888	70755888	106133832
106133856	2	70755904	70755904	106133856
106133880	2	70755920	70755920	106133880
106133904	2	70755936	70755936	106133904
106133928	2	70755952	70755952	106133928
106133952	2	70755968	70755968	106133952
106133976	2	70755984	70755984	106133976
106134000	2	70756000	70756000	106134000
106134024	2	70756016	70756016	106134024
106134048	2	70756032	70756032	106134048
106134072	2	70756048	70756048	106134072
106134096	2	70756064	70756064	106134096
106134120	2	70756080	70756080	106134120
106134144	2	70756096	70756096	106134144
106134168	2	70756112	70756112	106134168
106134192	2	70756128	70756128	106134192
106134216	2	70756144	70756144	106134216
106134240	2	70756160	70756160	106134240
106134264	2	70756176	70756176	106134264
106134288	2	70756192	70756192	106134288
106134312	2	70756208	70756208	106134312
106134336	2	70756224	70756224	106134336
106134360	2	70756240	70756240	106134360
106134384	2	70756256	70756256	106134384
106134408	2	70756272	70756272	106134408
106134432	2	70756288	70756288	106134432
106134456	2	70756304	70756304	106134456
106134480	2	70756320	70756320	106134480
106134504	2	70756336	70756336	106134504
106134528	2	70756352	70756352	106134528
106134552	2	70756368	70756368	106134552
106134576	2	70756384	70756384	106134576
106134600	2	70756400	70756400	106134600
106134624	2	70756416	70756416	106134624
106134648	2	70756432	70756432	106134648
106134672	2	70756448	70756448	106134672
106134696	2	70756464	70756464	106134696
106134720	2	70756480	70756480	106134720
106134744	2	70756496	70756496	106134744
106134768	2	70756512	70756512	106134768
106134792	2	70756528	70756528	106134792
106134816	2	70756544	70756544	106134816
106134840	2	70756560	70756560	106134840
106134864	2	70756576	70756576	106134864
106134888	2	70756592	70756592	106134888
106134912	2	70756608	70756608	106134912
106134936	2	70756624	70756624	106134936
106134960	2	70756640	70756640	106134960
106134984	2	70756656	70756656	106134984
106135008	2	70756672	70756672	106135008
106135032	2	70756688	70756688	106135032
106135056	2	70756704	70756704	106135056
106135080	2	70756720	70756720	106135080
106135104	2	70756736	70756736	106135104
106135128	2	70756752	70756752	106135128
106135152	2	70756768	70756768	106135152
106135176	2	70756784	70756784	106135176
106135200	2	70756800	70756800	106135200
106135224	2	70756816	70756816	106135224
106135248	2	70756832	70756832	106135248
106135272	2	70756848	70756848	106135272
106135296	2	70756864	70756864	106135296
106135320	2	70756880	70756880	106135320
106135344	2	70756896	70756896	106135344
106135368	2	70756912	70756912	106135368
106135392	2	70756928	70756928	106135392
106135416	2	70756944	70756944	106135416
106135440	2	70756960	70756960	106135440
106135464	2	70756976	70756976	106135464
106135488	2	70756992	70756992	106135488
106135512	2	70757008	70757008	106135512
106135536	2	70757024	70757024	106135536
106135560	2	70757040	70757040	106135560
106135584	2	70757056	70757056	106135584
106135608	2	70757072	70757072	106135608
106135632	2	70757088	70757088	106135632
106135656	2	70757104	70757104	106135656
106135680	2	70757120	70757120	106135680
106135704	2	70757136	70757136	106135704
106135728	2	70757152	70757152	106135728
106135752	2	70757168	70757168	106135752
106135776	2	70757184	70757184	106135776
106135800	2	70757200	70757200	106135800
106135824	2	70757216	70757216	106135824
106135848	2	70757232	70757232	106135848
106135872	2	70757248	70757248	106135872
106135896	2	70757264	70757264	106135896
106135920	2	70757280	70757280	106135920
106135944	2	70757296	70757296	106135944
106135968	2	70757312	70757312	106135968
106135992	2	70757328	70757328	106135992
106136016	2	70757344	70757344	106136016
106136040	2	70757360	70757360	106136040
106136064	2	70757376	70757376	106136064
106136088	2	70757392	70757392	106136088
106136112	2	70757408	70757408	106136112
106136136	2	70757424	70757424	106136136
106136160	2	70757440	70757440	106136160
106136184	2	70757456	70757456	106136184
106136208	2	70757472	70757472	106136208
106136232	2	70757488	70757488	106136232
106136256	2	70757504	70757504	106136256
106136280	2	70757520	70757520	106136280
106136304	2	70757536	70757536	106136304
106136328	2	70757552	70757552	106136328
106136352	2	70757568	70757568	106136352
106136376	2	70757584	70757584	106136376
106136400	2	70757600	70757600	106136400
106136424	2	70757616	70757616	106136424
106136448	2	70757632	70757632	106136448
106136472	2	70757648	70757648	106136472
106136496	2	70757664	70757664	106136496
106136520	2	70757680	70757680	106136520
106136544	2	70757696	70757696	106136544
106136568	2	70757712	70757712	106136568
106136592	2	70757728	70757728	106136592
106136616	2	70757744	70757744	106136616
106136640	2	70757760	70757760	106136640
106136664	2	70757776	70757776	106136664
106136688	2	70757792	70757792	106136688
106136712	2	70757808	70757808	106136712
106136736	2	70757824	70757824	106136736
106136760	2	70757840	70757840	106136760
106136784	2	70757856	70757856	106136784
106136808	2	70757872	70757872	106136808
106136832	2	70757888	70757888	106136832
106136856	2	70757904	70757904	106136856
106136880	2	70757920	70757920	106136880
106136904	2	70757936	70757936	106136904
106136928	2	70757952	70757952	106136928
106136952	2	70757968	70757968	106136952
106136976	2	70757984	70757984	106136976
106137000	2	70758000	70758000	106137000
106137024	2	70758016	70758016	106137024
106137048	2	70758032	70758032	106137048
106137072	2	70758048	70758048	106137072
106137096	2	70758064	70758064	106137096
106137120	2	70758080	70758080	106137120
106137144	2	70758096	70758096	106137144
106137168	2	70758112	70758112	106137168
106137192	2	70758128	70758128	106137192
106137216	2	70758144	70758144	106137216
106137240	2	70758160	70758160	106137240
106137264	2	70758176	70758176	106137264
106137288	2	70758192	70758192	106137288
106137312	2	70758208	70758208	106137312
106137336	2	70758224	70758224	106137336
106137360	2	70758240	70758240	106137360
106137384	2	70758256	70758256	106137384
106137408	2	70758272	70758272	106137408
106137432	2	70758288	70758288	106137432
106137456	2	70758304	70758304	106137456
106137480	2	70758320	70758320	106137480
106137504	2	70758336	70758336	106137504
106137528	2	70758352	70758352	106137528
106137552	2	70758368	70758368	106137552
106137576	2	70758384	70758384	106137576
106137600	2	70758400	70758400	106137600
106137624	2	70758416	70758416	106137624
106137648	2	70758432	70758432	106137648
106137672	2	70758448	70758448	106137672
106137696	2	70758464	70758464	106137696
106137720	2	70758480	70758480	106137720
106137744	2	70758496	70758496	106137744
106137768	2	70758512	70758512	106137768
106137792	2	70758528	70758528	106137792
106137816	2	70758544	70758544	106137816
106137840	2	70758560	70758560	106137840
106137864	2	70758576	70758576	106137864
106137888	2	70758592	70758592	106137888
106137912	2	70758608	70758608	106137912
106137936	2	70758624	70758624	106137936
106137960	2	70758640	70758640	106137960
106137984	2	70758656	70758656	106137984
106138008	2	70758672	70758672	106138008
106138032	2	70758688	70758688	106138032
106138056	2	70758704	70758704	106138056
106138080	2	70758720	70758720	106138080
106138104	2	70758736	70758736	106138104
106138128	2	70758752	70758752	106138128
106138152	2	70758768	70758768	106138152
106138176	2	70758784	70758784	106138176
106138200	2	70758800	70758800	106138200
106138224	2	70758816	70758816	106138224
106138248	2	70758832	70758832	106138248
106138272	2	70758848	70758848	106138272
106138296	2	70758864	70758864	106138296
106138320	2	70758880	70758880	106138320
106138344	2	70758896	70758896	106138344
106138368	2	70758912	70758912	106138368
106138392	2	70758928	70758928	106138392
106138416	2	70758944	70758944	106138416
106138440	2	70758960	70758960	106138440
106138464	2	70758976	70758976	106138464
106138488	2	70758992	70758992	106138488
106138512	2	70759008	70759008	106138512
106138536	2	70759024	70759024	106138536
106138560	2	70759040	70759040	106138560
106138584	2	70759056	70759056	106138584
106138608	2	70759072	70759072	106138608
106138632	2	70759088	70759088	106138632
106138656	2	70759104	70759104	106138656
106138680	2	70759120	70759120	106138680
106138704	2	70759136	70759136	106138704
106138728	2	70759152	70759152	106138728
106138752	2	70759168	70759168	106138752
106138776	2	70759184	70759184	106138776
106138800	2	70759200	70759200	106138800
106138824	2	70759216	70759216	106138824
106138848	2	70759232	70759232	106138848
106138872	2	70759248	70759248	106138872
106138896	2	70759264	70759264	106138896
106138920	2	70759280	70759280	106138920
106138944	2	70759296	70759296	106138944
106138968	2	70759312	70759312	106138968
106138992	2	70759328	70759328	106138992
106139016	2	70759344	70759344	106139016
106139040	2	70759360	70759360	106139040
106139064	2	70759376	70759376	106139064
106139088	2	70759392	70759392	106139088
106139112	2	70759408	70759408	106139112
106139136	2	70759424	70759424	106139136
106139160	2	70759440	70759440	106139160
106139184	2	70759456	70759456	106139184
106139208	2	70759472	70759472	106139208
106139232	2	70759488	70759488	106139232
106139256	2	70759504	70759504	106139256
106139280	2	70759520	70759520	106139280
106139304	2	70759536	70759536	106139304
106139328	2	70759552	70759552	106139328
106139352	2	70759568	70759568	106139352
106139376	2	70759584	70759584	106139376
106139400	2	70759600	70759600	106139400
106139424	2	70759616	70759616	106139424
106139448	2	70759632	70759632	106139448
106139472	2	70759648	70759648	106139472
106139496	2	70759664	70759664	106139496
106139520	2	70759680	70759680	106139520
106139544	2	70759696	70759696	106139544
106139568	2	70759712	70759712	106139568
106139592	2	70759728	70759728	106139592
106139616	2	70759744	70759744	106139616
106139640	2	70759760	70759760	106139640
106139664	2	70759776	70759776	106139664
106139688	2	70759792	70759792	106139688
106139712	2	70759808	70759808	106139712
106139736	2	70759824	70759824	106139736
106139760	2	70759840	70759840	106139760
106139784	2	70759856	70759856	106139784
106139808	2	70759872	70759872	106139808
106139832	2	70759888	70759888	106139832
106139856	2	70759904	70759904	106139856
106139880	2	70759920	70759920	106139880
106139904	2	70759936	70759936	106139904
106139928	2	70759952	70759952	106139928
106139952	2	70759968	70759968	106139952
106139976	2	70759984	70759984	106139976
106140000	2	70760000	70760000	106140000
106140024	2	70760016	70760016	106140024
106140048	2	70760032	70760032	106140048
106140072	2	70760048	70760048	106140072
106140096	2	70760064	70760064	106140096
106140120	2	70760080	70760080	106140120
106140144	2	70760096	70760096	106140144
106140168	2	70760112	70760112	106140168
106140192	2	70760128	70760128	106140192
106140216	2	70760144	70760144	106140216
106140240	2	70760160	70760160	106140240
106140264	2	70760176	70760176	106140264
106140288	2	70760192	70760192	106140288
106140312	2	70760208	70760208	106140312
106140336	2	70760224	70760224	106140336
106140360	2	70760240	70760240	106140360
106140384	2	70760256	70760256	106140384
106140408	2	70760272	70760272	106140408
106140432	2	70760288	70760288	106140432
106140456	2	70760304	70760304	106140456
