user_id,utc_date,model,api_key_name,api_key,type,price,amount
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-01,deepseek-v4-flash,gemini,sk-1ad11***********************54d5,output_tokens,0.00000028,16009
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-01,deepseek-v4-flash,gemini,sk-1ad11***********************54d5,request_count,,8
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-01,deepseek-v4-flash,gemini,sk-1ad11***********************54d5,input_cache_miss_tokens,0.00000014,364052
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-01,deepseek-v4-flash,jgh,sk-59add***********************c7d2,output_tokens,0.00000028,132634
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-01,deepseek-v4-flash,jgh,sk-59add***********************c7d2,request_count,,68
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-01,deepseek-v4-flash,jgh,sk-59add***********************c7d2,input_cache_miss_tokens,0.00000014,5288714
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-02,deepseek-v4-flash,gemini,sk-1ad11***********************54d5,output_tokens,0.00000028,5252
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-02,deepseek-v4-flash,gemini,sk-1ad11***********************54d5,request_count,,2
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-02,deepseek-v4-flash,gemini,sk-1ad11***********************54d5,input_cache_miss_tokens,0.00000014,135838
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-02,deepseek-v4-flash,jgh,sk-59add***********************c7d2,output_tokens,0.00000028,11021
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-02,deepseek-v4-flash,jgh,sk-59add***********************c7d2,request_count,,6
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-02,deepseek-v4-flash,jgh,sk-59add***********************c7d2,input_cache_miss_tokens,0.00000014,569448
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-02,deepseek-v4-flash,ridehigh,sk-15337***********************69d1,output_tokens,0.00000028,49583
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-02,deepseek-v4-flash,ridehigh,sk-15337***********************69d1,request_count,,33
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-02,deepseek-v4-flash,ridehigh,sk-15337***********************69d1,input_cache_miss_tokens,0.00000014,2555513
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-03,deepseek-v4-flash,as,sk-2918e***********************0fbb,output_tokens,0.00000028,384390
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-03,deepseek-v4-flash,as,sk-2918e***********************0fbb,request_count,,570
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-03,deepseek-v4-flash,as,sk-2918e***********************0fbb,input_cache_miss_tokens,0.00000014,14204372
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-03,deepseek-v4-flash,sdgew,sk-20705***********************e77c,output_tokens,0.00000028,6287
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-03,deepseek-v4-flash,sdgew,sk-20705***********************e77c,request_count,,8
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-03,deepseek-v4-flash,sdgew,sk-20705***********************e77c,input_cache_miss_tokens,0.00000014,141814
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-04,deepseek-v4-flash,as,sk-2918e***********************0fbb,output_tokens,0.00000028,118007
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-04,deepseek-v4-flash,as,sk-2918e***********************0fbb,request_count,,55
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-04,deepseek-v4-flash,as,sk-2918e***********************0fbb,input_cache_miss_tokens,0.00000014,4514607
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-09,deepseek-v4-flash,garbledarble,sk-aae38***********************9b27,output_tokens,0.00000028,9257
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-09,deepseek-v4-flash,garbledarble,sk-aae38***********************9b27,request_count,,14
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-09,deepseek-v4-flash,garbledarble,sk-aae38***********************9b27,input_cache_miss_tokens,0.00000014,1143932
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-10,deepseek-v4-pro,hermes,sk-a5b6b***********************7493,output_tokens,0.00000087,700511
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-10,deepseek-v4-pro,hermes,sk-a5b6b***********************7493,request_count,,1137
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-10,deepseek-v4-pro,hermes,sk-a5b6b***********************7493,input_cache_hit_tokens,0.000000003625,283645696
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-10,deepseek-v4-pro,hermes,sk-a5b6b***********************7493,input_cache_miss_tokens,0.000000435,15672478
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-10,deepseek-v4-flash,hermes,sk-a5b6b***********************7493,output_tokens,0.00000028,33
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-10,deepseek-v4-flash,hermes,sk-a5b6b***********************7493,request_count,,2
94d573f4-f031-4d89-a0a3-b6598613b6ef,2026-05-10,deepseek-v4-flash,hermes,sk-a5b6b***********************7493,input_cache_miss_tokens,0.00000014,9218
